id,Q,A
24,요즘 휴가철인데도 사람이 너무 많네요.,올 때마다 너무 더워서 힘들어요
47,요즘은 시급이 많이 올랐다고 하네요.,요즘 일하시는 거는 힘들지 않아요?
58,기억에 남는 추억이 있으세요?,훈련이 너무 힘들었어요
64,덕분에 훈련할 때 편하게 했습니다.,저는 견인포라 포 들고 삽질하고 땅 파고 너무 힘들었네요
130,요즘 길을 가다 보면 입마개를 안 한 대형견들이 종종 있는데 어떻게 생각하시나요?,물어보고 싶은 게 있는데 고양이 씻기기는 힘들지 않나요?
236,혹시 성형하고 싶은 부위가 있나요?,마스크를 쓰면 귀가 너무 아프네요 얼굴이 커서...
246,드시고 있는 건강 보조제가 있나요?,일을 하다 보면 어깨나 손목이 아프지 않으신가요?
331,결혼 전까지 부모님 옆에 딱 붙어있어라,한 40분 정도 걸리나 초반에는 힘들었는데 지금은 아무렇지도 않은 듯 아무리 낑겨도
332,나도 처음보다 적응해 버렸어 지하철 타는 거지?,웅웅 마음 같아서는 차 타고 다니고 싶은데 그러면 오히려 더 일찍 나와야 돼서 더 힘들 것 같아 키키
337,난 부산에서 거의 차 타고 다녀서 지금 더 힘들어,아 진짜로? 언제 샀어?
348,장단점 있지 서비스 쪽이라 사람 상대하는게 힘들었고 근데 재미는 있고 키키 사무직은 사람 상대 하는 건 크게 없어서 좋은데 너무 단조롭고,호텔에서 일했을 때 최고 좋았던 점이 뭐였어?
353,완전 키키 할 말이 많네 만나자,맞아 진짜 피부 약한 사람들은 바로 까매지고 얼굴 빨개지고 넘 힘들 것 같아 ㅠㅠ
358,키키 나도 근데 막상가면 적응 해서 우리 둘 다 잘 할 지도 키키 맞제,내가 맨날 괴롭혀야지
359,니가 니가? 내가 괴롭히겠지 키키 감히 나를?,키키 근데 군대가서 총 쏘고 이런 거는 재밌어보여 그치
412,너무 힘들 거 같다 그치,웅웅 그리고 둘 다 맨날 나와 있어서 강아지 슬플 것 같아 ㅠㅠ
417,친구는 뭐래 고양이 키우면서 힘들거나 한 거 없데?,진짜 털이 제일 그거야
418,친구는 뭐래 고양이 키우면서 힘들거나 한 거 없데?,걔네 페르시안이라서 털 진짜 미쳐
475,추우면 몸이 쪼그라들어 아침에 일어나기도 힘들고,키키 아 맞아 겨울에 진짜 일어나기 힘들긴 하지 ㅜㅜ
476,추우면 몸이 쪼그라들어 아침에 일어나기도 힘들고,나도 원래 여름 좋아했는데 좀 바뀐 것 같아 키키
477,추우면 몸이 쪼그라들어 아침에 일어나기도 힘들고,요새 너무 더워!
515,효과는 근데 눈에 보여서 나도 혹 한다 키키,근데 진짜 갈 때마다 고통인데 관리 받는 느낌이어서 좋긴해!
573,아니 일단 사서 스벅에서 먹었어!,배고픈 건 참기 힘들어
622,사실 나는 재택 근무가 가능하다고 해서  선택한 것도  큼 키키,재택으로 일하니까 좀 경계가 불분명해서 힘들더라고 나는 일하고 있는데 가족들 눈에는 그렇게 안 보이니까
633,집 앞에 있었어서 했는데 하 다른 건 다 둘째치고 손님 대접 진짜 커피가 제일 힘들었던 거 같아 손님 땜에... ㅜㅜ,아 나는 커피 너무 좋아해서 그것만 생각했는데...
634,집 앞에 있었어서 했는데 하 다른 건 다 둘째치고 손님 대접 진짜 커피가 제일 힘들었던 거 같아 손님 땜에... ㅜㅜ,맞아 커피 알바도 서비스직이라 내 친구 카페 하는데 손님 때문에 맨날 전화와
635,집 앞에 있었어서 했는데 하 다른 건 다 둘째치고 손님 대접 진짜 커피가 제일 힘들었던 거 같아 손님 땜에... ㅜㅜ,나한테 거의 하소연하거나 화내거나 그러는 거 같아 스트레스 받아서
639,나는 그냥 힘들겠다라고만 생각했는데 해보고 싶었다고? 해보고 싶었다는 사람은 내 주변에 처음이야 진심 키키,멋있잖아
640,나는 그냥 힘들겠다라고만 생각했는데 해보고 싶었다고? 해보고 싶었다는 사람은 내 주변에 처음이야 진심 키키,나는 그 운동 잘하는 사람이 그렇게 멋있더라고 그 결정체가 군인인 거 같아
641,나는 그냥 힘들겠다라고만 생각했는데 해보고 싶었다고? 해보고 싶었다는 사람은 내 주변에 처음이야 진심 키키,특히 여자 군인들 진짜 멋있지 않아?
653,아 근데 나도 폴댄스는 배워보고 싶긴 하다,폴댄스 다리 엄청 아프대~
724,너무 어지럽던데...?,그거 화면이 크면 클수록 그 화면이 확확 바뀌어 가지고 눈을 아프더라
728,재밌긴 한데 갈수록 돈 써야 돼서  힘들어 ㅜㅜ,돈? 아이템 이런 거 사느라고?
811,과일이지!,음 체리 종류의 하나인데 그게 잘 물르는 성질이 있어서 생으로 먹기는 힘들다는
